"id","Comuna","population_2015","population_2016","victims_2015","victims_2016"
"1",1,1372,1928,4,10
"2",2,7092,7320,2,13
"3",3,4209,4894,19,29
"4",4,4476,4524,9,15
"5",5,7606,8914,192,191
"6",6,4400,5358,26,47
"7",7,2716,2836,11,12
"8",8,7101,8126,6,8
"9",9,1867,1786,4,10
"10",10,2858,2834,8,10
"11",11,5296,5329,4,16
"12",12,2885,3094,3,7
"13",13,5455,7251,54,65
"14",14,4293,10281,115,206
"15",15,3010,4014,27,38
"16",16,4137,5299,17,76
"17",17,5985,6427,20,65
"18",18,6620,7814,28,43
"19",19,7790,8327,12,22
"20",20,2614,2738,6,11
"21",21,3025,4999,77,118
"22",52,2838,2795,2,3
"23",54,2196,2377,2,11
